1-měl_	měly	měla
1-veden_	vedena	vedeny
1-zásilk_	zásilky	zásilka
1-látk_	látka	látky
1-proběhl_	proběhla	proběhly
1-stanoven_	stanoveny	stanovena
2-čtenář_	čtenářce	čtenářka	čtenářky
1-skupin_	skupiny	skupina
1-připraven_	připravena	připraveny
1-návštěv_	návštěvy	návštěva
2-tabul_	tabulky	tabulka
1-částk_	částky	částka
1-zrušen_	zrušena	zrušeny
1-určen_	určena	určeny
1-bank_	banky	banka
2-polož_	položky	položka	položkou
1-škod_	škody	škoda
1-vlád_	vláda	vlády
1-vln_	vlny	vlna
1-sam_	samy	sama
1-cen_	ceny	cena
1-prokázal_	prokázaly	prokázala
1-partner_	partnera	partnery
1-úprav_	úprava	úpravy
1-platb_	platba	platby
1-otázk_	otázka	otázky
2-vál_	válkou	válce
1-padl_	padla	padly
1-dyb_	dyby	dyba
1-konal_	konala	konaly
1-centr_	centry	centra
1-síl_	síla	síly
1-slov_	slova	slovy
1-záruk_	záruka	záruky
1-republik_	republika	republiky
1-většin_	většiny	většina
1-nebyl_	nebyly	nebyla
2-výjim_	výjimkou	výjimka	výjimky
2-ru_	rukou	ruce	ruky
1-struktur_	struktura	struktury
2-novin_	novinkou	novinky
1-legislativ_	legislativy	legislativa
2-objednáv_	objednávky	objednávce
1-centrál_	centrály	centrála
1-poloh_	poloha	polohy
1-výjimk_	výjimka	výjimky
1-výhod_	výhoda	výhody
1-mzd_	mzda	mzdy
1-bet_	beta	bety
2-kalkulač_	kalkulačkou	kalkulačka
1-knih_	kniha	knihy
1-kultur_	kultury	kultura
1-ekonomik_	ekonomika	ekonomiky
1-požádal_	požádaly	požádala
2-ekonomic_	ekonomickou	ekonomicky
1-změn_	změna	změny
2-pracovní_	pracovníky	pracovníka
2-strán_	stránky	stránce
1-vzrostl_	vzrostla	vzrostly
1-dik_	dika	diky
1-musel_	musely	musela
2-přihláš_	přihláška	přihlášky
1-zákazník_	zákazníka	zákazníky
1-zkušebn_	zkušebna	zkušebny
2-podmín_	podmínkou	podmínky
1-dal_	dala	daly
1-sazb_	sazby	sazba
1-smlouv_	smlouvy	smlouva
2-výu_	výuka	výuce	výukou
1-komor_	komora	komory
1-mír_	míra	míry
2-kníž_	knížce	knížky
1-form_	formy	forma
1-prah_	prahy	praha
1-automobilk_	automobilky	automobilka
1-ostrav_	ostrava	ostravy
1-přizpůsobil_	přizpůsobily	přizpůsobila
1-dividend_	dividenda	dividendy
1-zásad_	zásady	zásada
2-výrob_	výrobce	výrobky
1-burz_	burza	burzy
1-hlav_	hlavy	hlava
2-manžel_	manželka	manželkou	manželce
2-hospodářs_	hospodářskou	hospodářsky
1-polovin_	polovina	poloviny
2-sáz_	sázky	sázka
2-obchodní_	obchodníky	obchodníka
2-techni_	technice	technika	techniky
1-technik_	technika	techniky
1-souprav_	souprava	soupravy
1-otevřen_	otevřena	otevřeny
1-kosmetik_	kosmetika	kosmetiky
2-automobil_	automobilky	automobilka
1-jedn_	jedny	jedna
1-burgib_	burgiby	burgiba
1-upraven_	upravena	upraveny
1-měn_	měna	měny
1-reklam_	reklama	reklamy
1-oprav_	opravy	oprava
1-převah_	převaha	převahy
1-krajink_	krajinky	krajinka
1-antikv_	antikvy	antikva
1-odrazil_	odrazily	odrazila
1-rubrik_	rubrika	rubriky
1-prodejn_	prodejny	prodejna
1-osob_	osoba	osoby
1-kvalit_	kvality	kvalita
1-obchodník_	obchodníky	obchodníka
1-vyvolal_	vyvolala	vyvolaly
1-spotřeb_	spotřeby	spotřeba
1-dráh_	dráhy	dráha
1-van_	vany	vana
1-politik_	politiky	politika
1-bot_	bota	boty
1-smetan_	smetany	smetana
2-fins_	finskou	finska
1-stran_	strana	strany
1-analýz_	analýzy	analýza
2-ban_	bankou	banky	bance	banka
1-nabídk_	nabídka	nabídky
1-záloh_	záloha	zálohy
1-začal_	začaly	začala
2-lát_	látka	látky
1-objednal_	objednala	objednaly
1-mohl_	mohly	mohla
1-vod_	vody	voda
2-kosmeti_	kosmetika	kosmetiky
1-díl_	díly	díla
1-dosáhl_	dosáhla	dosáhly
1-proveden_	provedena	provedeny
1-dlažb_	dlažby	dlažba
2-databan_	databance	databanky	databankou
1-pauz_	pauzy	pauza
1-zvýšil_	zvýšila	zvýšily
2-půjč_	půjčky	půjčka
2-ekonomi_	ekonomice	ekonomika	ekonomikou	ekonomiky
1-morav_	moravy	morava
1-škol_	škola	školy
1-správ_	správa	správy
2-znač_	značky	značkou
1-vyhovoval_	vyhovovaly	vyhovovala
1-dohod_	dohody	dohoda
1-čtenářk_	čtenářka	čtenářky
2-příruč_	příručky	příručka
2-republi_	republika	republiky	republice
2-otáz_	otázka	otázky
1-dob_	doba	doby
2-mar_	marka	marce
2-zásil_	zásilky	zásilce	zásilka
1-olejomalb_	olejomalba	olejomalby
1-turistik_	turistika	turistiky
2-němec_	německou	německa
1-klientel_	klientela	klientely
1-řad_	řada	řady
1-ukázal_	ukázala	ukázaly
1-hodnot_	hodnota	hodnoty
2-jazy_	jazyky	jazyce
2-problemati_	problematika	problematice
1-chyb_	chyby	chyba
1-chat_	chaty	chata
2-zákazní_	zákazníka	zákazníky
1-příručk_	příručky	příručka
1-doprav_	doprava	dopravy
1-pojišťovn_	pojišťovna	pojišťovny
2-přestáv_	přestávky	přestávka
2-část_	částkou	částce	částky	částka
1-barv_	barvy	barva
1-kandidát_	kandidáta	kandidáty
1-nov_	nova	novy
2-poptáv_	poptávce	poptávka	poptávky	poptávkou
1-přihlášk_	přihláška	přihlášky
1-kanad_	kanady	kanada
1-hor_	hora	hory
1-profesor_	profesory	profesora
1-metod_	metody	metoda
1-počítal_	počítala	počítaly
2-letec_	leteckou	letecky
1-zařazen_	zařazena	zařazeny
2-turisti_	turistika	turistiky
1-opravn_	opravny	opravna
1-pracovník_	pracovníky	pracovníka
1-vytvořen_	vytvořena	vytvořeny
1-administrativ_	administrativy	administrativa
1-procent_	procenta	procenty
1-vazb_	vazby	vazba
1-rad_	rada	rady
1-klient_	klienty	klienta
1-podstat_	podstata	podstaty
2-nabíd_	nabídkou	nabídce	nabídka	nabídky
1-hodnocen_	hodnoceny	hodnocena
1-vlastník_	vlastníky	vlastníka
1-ztrát_	ztráta	ztráty
1-expert_	experta	experty
1-úspor_	úspora	úspory
1-podpor_	podpory	podpora
